,0
203,3173.9752387354515
204,-3833.4647102712224
205,906.7605918170818
206,-165.41835249187096
207,425.24192180868044
208,34644.00848785695
209,-1624.818035431757
210,-2394.071307725957
211,-312.7934792408248
212,-813.8771076527914
213,-1287.5758780877643
214,-6381.47987581866
215,-1370.312731587059
216,768.7388272058574
217,-384.5058171993438
218,440.2314721209741
219,2034.930198429836
220,-1408.1527067327015
221,8169.167905042694
222,564.8250923591941
223,3404.033150540225
224,-1689.3929189831206
225,2706.828766807833
226,-339.4793438828033
227,2622.6086333368035
228,434.51482210957437
229,309.7251836304776
230,966.4745773121681
231,-229.33467315806507
232,30248.700937433256
233,472.64609293148516
234,343.37070074667986
235,-757.9249446145844
236,1591.1554272022033
237,-335.0675398561124
238,-311.6716765231279
239,-5751.916311322743
240,-767.4932025023072
241,472.01682991099267
242,-3194.893576570247
243,14.241364540780637
244,219.2858489853272
245,-448.37530283100057
246,-855.2429703022644
247,342.8799053878401
248,-748.6907791758757
249,147.44570968038823
250,193.2299142613669
251,588.0097110457849
252,-954.1777641394806
253,1148.2463060492526
254,389.5148006833891
255,-1043.1162918374437
256,745.092004126207
257,-452.74509733671687
258,2735.6348019071725
259,-42322.651419560905
260,-6746.9772263440145
261,111.18175068411841
262,-371.4400130894579
263,1728.052580697522
264,2803.0677815077497
265,27370.162226981687
266,-227.99000991513697
267,394.27391105537265
268,-1337.1139862070454
269,-2299.2222346175117
270,-753.5634298771761
271,-3584.4687509031073
272,884.8414362559007
273,-2357.7770034351206
274,-94.58735068501355
275,399.1601519147913
276,-1104.3647431014379
277,991.1489409881362
278,-196.5503213715602
279,266.4835090292001
280,-436.5427297088743
281,7531.553830852964
282,-288.8061967610918
283,-14.856192916990125
284,3452.599601644409
285,-28.97242639514593
286,-785.2111688888108
287,-873.4352055266337
288,-943.1038742988119
289,-646.9376321156988
290,-131.93081127624114
291,7215.470106164706
292,1439.0062406188736
293,509.94060390063476
294,4489.407771841581
295,48.85038967315182
296,-5365.538886659592
297,885.2969279046621
298,4956.125405174182
299,-1034.162528103813
300,-2742.980501638665
301,1392.6339843924886
302,629.865781341465
303,3713.3365291221976
304,-5641.217198423184
305,-882.2270290557169
306,-949.313381379116
307,1325.5765518389528
308,-31.878206215425678
309,-11084.772994310722
310,28121.294128991205
311,-990.6557697410244
312,636.333628891346
313,676.5565632602168
314,-1147.6777816969302
315,618.5827071876245
316,-592.9047683181366
317,-10623.930713641625
318,8058.456306531608
319,-33591.680854747836
320,3046.1199808554966
321,503.2195883701676
322,6135.603802623893
323,26120.430779428592
324,17554.387468750134
325,520.7806727388415
326,1813.8377966873331
327,-5066.337551882832
328,107.68558117875867
329,-41959.25490941607
330,35274.13234117708
331,17109.978550332737
332,-40631.8497160305
333,-606692.7912136246
334,165872.60382475168
335,-58809.99406006209
336,-18882.717848548884
337,8883.36280491892
338,15587.393158444675
339,-13992.99890806196
340,-3085.482039380952
341,-12906.101974853269
342,-11362.32947632802
343,-766.8378843771368
344,8966.451698322417
345,7406.8934328388805
346,10654.782332992787
347,-17163.434631097123
348,-8660.804865539443
349,-415.93666684727054
350,6400.0483231546095
351,17920.784157495207
352,17112.429209535832
353,-7905.320862752018
354,773.5330871833061
355,1318.482896675248
356,-10770.957049715029
357,-5936.68330103086
358,-1874.0691255107113
359,808.7157638348089
360,-468.9723924731994
361,14557.50173253646
362,463.4097383829405
363,55179.38945459577
364,-6985.036198768907
365,3291.185822441108
366,7419.285082232912
367,21069.824458300718
368,-12285.347798268896
369,606.9386128148146
370,-440.1043478029062
371,-8160.886515822567
372,-386.17358221713386
373,69.31288158517833
374,1477.2316698051864
375,135.47860932941728
376,-2619.449712260467
377,11441.900657618236
378,494.63192808563485
379,1402.7423117393205
380,-9004.004910531616
381,933.6173089600537
382,1663.681015211297
383,56.884252265158665
384,-3315.8623766133574
385,-1192.639141557169
386,-1013.4000912492609
387,5881.6192135615065
388,-2922.3223884501754
